property_id,kota,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_lantai,garasi,tahun_dibangun,kondisi,jarak_pusat_kota_km,dekat_sekolah,dekat_rs,dekat_mall,jenis_sertifikat,harga_idr
PROP00001,Bali,135,261,4,1,3,Tidak,2008,Perlu Renovasi,6.1,Tidak,Ya,Ya,HGB,6251611959
PROP00002,Jakarta Barat,230,415,4,2,1,Tidak,2003,Cukup,27,Tidak,Tidak,Tidak,SHGB,8485775652
PROP00003,Jakarta Selatan,154,215,1,4,2,Ya,1991,Cukup,31.3,Tidak,Ya,Ya,SHM,4479306962
PROP00004,Bali,535,734,1,2,2,Tidak,2017,Cukup,10.2,Tidak,Ya,Tidak,Strata Title,27005355176
PROP00005,Surabaya,37,196,6,4,2,Ya,1995,Cukup,31.3,Tidak,Ya,Ya,HGB,830782341
PROP00006,Tangerang,318,508,4,4,1,Tidak,2022,Cukup,22.6,Ya,Tidak,Tidak,Strata Title,9362989928
PROP00007,Surabaya,257,322,3,1,2,Ya,2009,Baru,0.4,Ya,Ya,Tidak,SHGB,15128359568
PROP00008,Yogyakarta,557,752,5,2,3,Ya,2016,Perlu Renovasi,10.2,Tidak,Tidak,Ya,SHGB,8382177572
PROP00009,Bali,238,403,2,2,1,Ya,1991,Baru,10.4,Ya,Ya,Ya,SHGB,15152377439
PROP00010,Jakarta Barat,71,243,,1,2,Tidak,2021,Cukup,27.3,Ya,Tidak,Ya,Girik,3754409279
PROP00011,Bandung,246,318,1,1,2,Ya,2009,Perlu Renovasi,10.6,Tidak,Tidak,Ya,SHM,3123586316
PROP00012,Jakarta Utara,55,241,6,4,1,Ya,2018,Perlu Renovasi,,Ya,Tidak,Ya,Strata Title,2127164717
PROP00013,Semarang,587,812,3,1,1,Tidak,2017,Baru,1.3,Tidak,Ya,Tidak,SHM,25787354341
PROP00014,Tangerang,97,163,4,1,2,Tidak,2000,Perlu Renovasi,23.3,Ya,Tidak,Ya,Girik,2095799749
PROP00015,Semarang,493,684,6,1,3,Tidak,2017,Perlu Renovasi,,Ya,Tidak,Ya,Strata Title,5326693594
PROP00016,Tangerang,111,297,2,1,3,Ya,1994,Bagus,,Ya,Tidak,Ya,SHGB,5359667949
PROP00017,Semarang,100,341,5,3,3,Tidak,1985,Perlu Renovasi,14.4,Ya,Ya,Tidak,HGB,1338899737
PROP00018,Surabaya,385,395,1,2,3,Ya,2009,Cukup,13,Ya,Ya,Tidak,SHGB,
PROP00019,Semarang,196,255,3,2,3,Ya,2007,Baru,,Tidak,Tidak,Ya,Strata Title,3368287224
PROP00020,Bekasi,244,256,3,4,1,Tidak,1986,Baru,20.8,Tidak,Ya,Ya,Girik,5510342896
PROP00021,Semarang,455,546,3,1,2,Tidak,2021,Baru,,Tidak,Tidak,Ya,SHGB,11976620946
PROP00022,Bandung,179,,2,1,1,Ya,2003,Cukup,26,Ya,Ya,Tidak,HGB,2566332371
PROP00023,Bekasi,202,304,1,4,1,Tidak,1988,Cukup,0.6,Ya,Ya,Tidak,,5772874636
PROP00024,Jakarta Selatan,46,171,1,2,1,Tidak,2001,Perlu Renovasi,24.1,Tidak,Ya,Tidak,HGB,1403702557
PROP00025,Yogyakarta,339,362,6,4,1,Tidak,2006,Baru,34.7,Ya,Tidak,Ya,HGB,8070642220
PROP00026,Bali,583,823,1,4,2,Ya,1986,Bagus,34.6,Ya,Tidak,Tidak,SHM,14414134351
